"","Continent","Type","TempType","PAF","PAF_LCI","PAF_UCI"
"1","EU","UWT","Cold",29.1446659452022,27.6138285384085,30.6178917228318
"2","EU","UWT","Heat",0,0,0
"3","EU","UWT","Total",29.1446659452022,27.6138285384085,30.6178917228318
"4","EU","PWT","Cold",1.17894401231496,0.789308593410799,1.58334423492709
"5","EU","PWT","Heat",5.27567847102234,4.37797335814646,6.30038582742169
"6","EU","PWT","Total",6.4546224833373,5.81479942650616,7.2357294875885
"7","SA","UWT","Cold",3.13798555554839,2.1312801106662,4.34752481652589
"8","SA","UWT","Heat",3.46625276819327,3.16720272594669,3.74453387249841
"9","SA","UWT","Total",6.60423832374166,5.8323820234016,7.6426028265711
"10","SA","PWT","Cold",14.1550256002975,11.2934291979474,18.7336899461306
"11","SA","PWT","Heat",1.17067566041181,0.743786835954115,1.74591093060575
"12","SA","PWT","Total",15.3257012607093,12.367715670441,20.094949528021
"13","AS","UWT","Cold",8.46492695878477,6.74372810952634,10.0987753163018
"14","AS","UWT","Heat",4.19531014885566,3.32983548671477,5.0921806520083
"15","AS","UWT","Total",12.6602371076404,11.2372636031635,14.003245540652
"16","AS","PWT","Cold",8.6184041110882,7.93475506979254,9.29889507372601
"17","AS","PWT","Heat",0,0,0
"18","AS","PWT","Total",8.6184041110882,7.93475506979254,9.29889507372601
"19","AF","UWT","Cold",0,0,0
"20","AF","UWT","Heat",31.8185728421914,31.4077105784602,32.189950949953
"21","AF","UWT","Total",31.8185728421914,31.4077105784602,32.189950949953
"22","AF","PWT","Cold",0,0,0
"23","AF","PWT","Heat",17.7919709483363,17.1736177436227,18.3093317203543
"24","AF","PWT","Total",17.7919709483363,17.1736177436227,18.3093317203543
"25","NA","UWT","Cold",13.8933365019834,11.260364958694,16.1012770488433
"26","NA","UWT","Heat",11.7631995821363,9.1188487576033,15.0664458420583
"27","NA","UWT","Total",25.6565360841197,24.3708774784007,27.4521275848527
"28","NA","PWT","Cold",11.0233756198021,8.73224791844887,12.7888381783157
"29","NA","PWT","Heat",8.38177176760914,6.41505910770562,10.9978426484603
"30","NA","PWT","Total",19.4051473874113,17.5845706003027,21.4784718381072
"31","OC","UWT","Cold",14.8116941034253,10.6192875927834,19.3426524823071
"32","OC","UWT","Heat",1.11687662232546,0.788772430887991,1.51478677537057
"33","OC","UWT","Total",15.9285707257508,11.7099886495037,20.5708441858725
"34","OC","PWT","Cold",30.2414010668782,22.8819524745477,37.3896561153475
"35","OC","PWT","Heat",5.82930098063936,4.25214026731409,7.75494778447184
"36","OC","PWT","Total",36.0707020475176,28.7660594000929,44.1745930832307
